Designator,Mid X,Mid Y,Rotation,Layer
C1,155.155,-103.85,0.0,top
C10,157.065,-98.015,180.0,top
C11,156.765,-99.45,180.0,top
C12,153.09,-96.525,180.0,top
C13,157.025,-103.85,180.0,top
C14,167.145,-97.09,0.0,top
C15,166.69,-103.325,90.0,top
C16,167.135,-98.059,0.0,top
C17,155.23,-96.575,180.0,top
C18,157.055,-97.075001,180.0,top
C19,151.335,-102.26,0.0,top
C2,172.054,-101.226,0.0,top
C20,173.885,-101.23,180.0,top
C21,171.040002,-99.584999,270.0,top
C22,171.965,-99.175,270.0,top
C23,173.544999,-100.27,180.0,top
C24,154.945,-99.444998,0.0,top
C25,171.405,-77.205,90.0,top
C26,158.815,-77.215,90.0,top
C27,167.205,-87.745001,90.0,top
C28,171.395,-93.145001,90.0,top
C29,158.815,-87.655001,90.0,top
C3,152.705,-102.195,90.0,top
C30,158.805,-71.055,90.0,top
C31,171.385,-70.955,90.0,top
C32,154.605,-93.385,90.0,top
C4,169.16,-100.305,180.0,top
C5,166.689999,-101.435,270.0,top
C6,170.68,-102.969999,270.0,top
C7,167.138,-96.169,0.0,top
C8,157.065,-100.37,180.0,top
C9,167.135,-98.99,0.0,top
D2,152.880001,-103.825,0.0,top
J2,146.35,-84.45,90.0,top
Q1,154.6,-74.815,270.0,top
Q2,167.195,-74.585,270.0,top
Q3,158.8,-90.78,270.0,top
Q4,167.2,-90.775,270.0,top
R1,155.19,-100.385,180.0,top
R10,169.02,-99.225,180.0,top
R2,153.645,-102.17,90.0,top
R3,152.026,-84.681,180.0,top
R4,153.939,-84.679,180.0,top
R5,167.155,-99.94,0.0,top
R6,154.928,-98.512,0.0,top
R7,154.928,-97.562,0.0,top
R9,171.49,-97.784999,180.0,top
U1,151.446,-100.5,0.0,top
U10,152.475,-98.125,180.0,top
U11,156.7,-82.125,0.0,top
U12,160.9,-82.125,0.0,top
U13,152.5,-86.75,0.0,top
U14,156.7,-86.75,0.0,top
U15,160.9,-86.75,0.0,top
U16,165.1,-82.125,0.0,top
U17,169.3,-82.125,0.0,top
U18,173.5,-82.125,0.0,top
U19,165.1,-86.75,0.0,top
U20,169.305,-97.155,90.0,top
U21,169.3,-86.75,0.0,top
U22,173.5,-86.75,0.0,top
U24,152.5,-65.625,0.0,top
U25,156.7,-65.625,0.0,top
U26,160.9,-65.625,0.0,top
U27,165.1,-65.625,0.0,top
U28,169.3,-65.625,0.0,top
U29,173.5,-65.625,0.0,top
U3,162.1,-100.2,90.0,top
U30,179.935,-65.735,0.0,top
U31,152.5,-69.95,0.0,top
U32,156.7,-69.95,0.0,top
U33,160.9,-69.95,0.0,top
U34,165.1,-69.95,0.0,top
U35,169.3,-69.95,0.0,top
U36,173.5,-69.95,0.0,top
U37,179.935,-70.06,0.0,top
U38,152.5,-76.075,0.0,top
U39,156.7,-76.075,0.0,top
U4,156.04,-102.125,180.0,top
U40,160.9,-76.075,0.0,top
U41,165.09,-76.075,0.0,top
U42,169.3,-76.075,0.0,top
U45,152.5,-92.25,0.0,top
U46,156.7,-92.25,0.0,top
U47,160.9,-92.25,0.0,top
U48,165.1,-92.25,0.0,top
U49,169.3,-92.25,0.0,top
U5,152.5,-82.125,0.0,top
U50,173.5,-76.075,0.0,top
U52,173.5,-92.275,0.0,top
U6,152.985,-100.155,0.0,top
U7,173.925,-97.825,270.0,top
U8,171.566998,-96.413,0.0,top
U9,173.125,-102.975,180.0,top
Y1,168.67,-102.54,90.0,top
